indication,endpoint,time,n,r,drug.class,study,treatment
psoriasis,pasi75,12,50,1,4,1,A
psoriasis,pasi75,12,49,20,3,1,B
psoriasis,pasi75,12,95,6,4,2,A
psoriasis,pasi75,12,313,130,3,2,B
psoriasis,pasi75,12,311,210,3,2,C
psoriasis,pasi75,12,88,6,4,3,A
psoriasis,pasi75,12,88,42,3,3,B
psoriasis,pasi75,12,59,2,4,4,A
psoriasis,pasi75,12,59,47,1,4,D
psoriasis,pasi75,12,57,3,4,5,A
psoriasis,pasi75,12,165,101,1,5,D
psoriasis,pasi75,12,51,1,4,6,A
psoriasis,pasi75,12,95,54,1,6,D
psoriasis,pasi75,12,49,7,4,7,A
psoriasis,pasi75,12,91,71,1,7,D
psoriasis,pasi75,12,246,11,4,8,A
psoriasis,pasi75,12,245,200,2,8,E
psoriasis,pasi75,12,243,174,2,8,F
psoriasis,pasi75,12,59,0,4,9,A
psoriasis,pasi75,12,58,47,2,9,E
psoriasis,pasi75,12,59,43,2,9,F
psoriasis,pasi75,12,324,16,4,10,A
psoriasis,pasi75,12,323,249,2,10,E
psoriasis,pasi75,12,327,219,2,10,F
psoriasis,pasi75,12,55,1,4,11,A
psoriasis,pasi75,12,57,17,1,11,G
psoriasis,pasi75,12,310,257,2,12,H
psoriasis,pasi75,12,611,543,2,12,I
psoriasis,pasi75,12,61,2,4,13,A
psoriasis,pasi75,12,60,53,2,13,E
psoriasis,pasi75,12,61,44,2,13,F
psoriasis,pasi75,12,166,6,4,14,A
psoriasis,pasi75,12,162,55,1,14,G
psoriasis,pasi75,12,46,1,4,15,A
psoriasis,pasi75,12,38,17,1,15,J
psoriasis,pasi75,12,177,9,4,16,A
psoriasis,pasi75,12,363,129,3,16,B
psoriasis,pasi75,12,360,199,3,16,C
psoriasis,pasi75,12,193,16,4,17,A
psoriasis,pasi75,12,376,145,3,17,B
psoriasis,pasi75,12,374,200,3,17,C
psoriasis,pasi75,12,484,436,2,18,E
psoriasis,pasi75,12,482,407,2,18,F
psoriasis,pasi75,12,431,17,4,19,A
psoriasis,pasi75,12,432,357,2,19,H
psoriasis,pasi75,12,433,386,2,19,I
psoriasis,pasi75,12,168,4,4,20,A
psoriasis,pasi75,12,347,269,2,20,H
psoriasis,pasi75,12,351,315,2,20,I
psoriasis,pasi75,12,193,14,4,21,A
psoriasis,pasi75,12,386,325,2,21,H
psoriasis,pasi75,12,385,336,2,21,I
psoriasis,pasi75,12,272,254,2,22,E
psoriasis,pasi75,12,136,112,2,22,F
psoriasis,pasi75,12,49,0,4,23,A
psoriasis,pasi75,12,48,39,2,23,E
psoriatic arthritis,pasi75,24,62,2,4,24,A
psoriatic arthritis,pasi75,24,66,15,1,24,G
psoriatic arthritis,pasi75,24,69,1,4,25,A
psoriatic arthritis,pasi75,24,69,41,1,25,J
psoriatic arthritis,pasi75,24,43,7,4,26,A
psoriatic arthritis,pasi75,24,58,28,2,26,F
psoriatic arthritis,pasi75,24,59,6,4,27,A
psoriatic arthritis,pasi75,24,68,34,2,27,F
psoriatic arthritis,pasi75,26,80,27,3,28,B
psoriatic arthritis,pasi75,26,81,37,3,28,C
psoriatic arthritis,pasi75,26,82,38,3,29,B
psoriatic arthritis,pasi75,26,70,42,3,29,C
psoriatic arthritis,pasi75,26,77,42,1,29,J
psoriatic arthritis,pasi75,24,86,13,4,30,A
psoriatic arthritis,pasi75,24,90,56,1,30,D
psoriatic arthritis,pasi75,24,67,7,4,31,A
psoriatic arthritis,pasi75,24,73,52,2,31,H
psoriatic arthritis,pasi75,24,59,47,2,31,I
psoriatic arthritis,pasi75,24,68,37,1,31,J
psoriatic arthritis,pasi75,24,67,10,4,32,A
psoriatic arthritis,pasi75,24,68,38,2,32,H
psoriatic arthritis,pasi75,24,68,41,2,32,I
